seq,send_ts_ms,rtt_ms,est_oneway_ms
677,122605015.455186,8.394394,4.197197
678,122605018.779573,6.421325,3.210662
679,122605033.822546,5.781012,2.890506
680,122605036.189928,9.26483,4.632415
681,122605037.289714,9.378999,4.689499
682,122605038.412411,9.50239,4.751195
683,122605838.861135,74.106498,37.053249
684,122605859.299928,53.78891,26.894455
685,122605864.923479,48.187405,24.093702
686,122605893.048369,20.078978,10.039489
687,122605894.031519,19.111611,9.555805
688,122605895.169333,17.989894,8.994947
689,122606594.911434,9.326249,4.663124
690,122606618.268299,13.248352,6.624176
691,122606620.427651,11.185687,5.592843
692,122606628.385381,9.935932,4.967966
693,122606629.428764,8.929572,4.464786
694,122606632.687104,7.887673,3.943836
695,122607450.245668,17.111267,8.555633
696,122607460.49269,6.957968,3.478984
697,122607493.947527,36.852148,18.426074
698,122607501.128128,29.790501,14.89525
699,122607504.539353,57.621161,28.81058
700,122607610.353227,72.429323,36.214661
701,122608361.849785,9.442518,4.721259
702,122608367.68922,5.909278,2.954639
703,122608382.809469,13.460157,6.730078
704,122608385.112969,11.22238,5.61119
705,122608387.215307,11.271861,5.63593
706,122608390.346058,8.176038,4.088019
707,122608940.862472,41.589107,20.794553
708,122608959.464277,25.225052,12.612526
709,122608964.851497,19.860863,9.930431
710,122608967.112837,17.615552,8.807776
711,122609007.060251,6.797447,3.398723
712,122609134.024277,9.205567,4.602783
713,122611178.565084,6.798773,3.399386
714,122611188.522243,6.871001,3.4355
715,122611189.518289,5.908049,2.954024
716,122611194.219103,8.894953,4.447476
717,122611199.477879,6.878839,3.439419
718,122611200.646962,8.982672,4.491336
719,122611645.304478,12.024986,6.012493
720,122611648.563978,9.932525,4.966262
721,122611670.10264,6.693363,3.346681
722,122611673.316808,5.663433,2.831716
723,122611678.681562,7.082603,3.541301
724,122611696.95186,11.937197,5.968598
725,122611808.64436,6.821217,3.410608
